callsign,latitude,longitude
BD7JNA,36.5,117.0
DK0TE,47.5,12.0
W1NT-2,42.75,-72.25
IV3DXW,45.75,13.0
W3LPL,39.25,-76.0
MM0GPZ,57.75,-4.25
DK9IP-1,48.75,9.0
WE4M,34.5,-82.25
LZ3CB,42.75,24.0
HB9BXE,47.5,8.0
PI4CC,52.25,5.25
LB9KJ,59.75,9.0
N9CO,41.75,-87.75
OH0K/6,60.25,20.0
DK9IP,48.75,9.0
EA5WU,39.75,-1.25
LA6TPA,68.75,15.0
HB9DCO,47.25,8.0
DL1HWS-3,51.25,10.0
K9LC,41.75,-87.5
PA5KT,52.75,5.0
DK2GOX,49.75,10.0
ZL4YL,-43.75,172.0
W8WTS,41.75,-81.0
HA8TKS,47.75,20.0
K3PA-1,39.75,-83.0
VU2TUM,15.5,77.0
OE3KLU,47.75,13.0
KO7SS,37.25,-109.0
EA2RCF-4,43.25,-3.25
DE1LON,51.75,9.0
DD5XX,48.75,9.0
DL1HWS,51.25,10.0
PE5TT,52.75,6.0
VK6ANC,-31.75,115.0
ON7KEC,50.75,4.0
KV4TT,24.75,-81.0
G3YPP,51.25,0.0
N2CR,40.75,-74.0
W8WWV,41.75,-81.25
K4PP,35.25,-85.0
OZ4ADX,56.25,10.0
CT1EYQ,39.75,-8.0
BG4GOV,31.5,121.0
EA2CW,43.25,-2.75
ND7K,33.75,-106.0
VK3RASA,-37.75,145.0
DM5GG,51.25,10.0
BG0AJO/0,39.75,116.0
OK1FCJ,49.75,14.0
YO2CK,45.75,25.0
VE7CC,49.25,-123.0
7N4XCV,35.75,139.0
BI4MPH-1,31.25,121.0
VU2CPL,13.5,77.0
S50ARX,46.25,13.0
JE1AEX-1,35.75,139.0
N6TV,33.75,-116.0
VE6AO,53.75,-114.0
K7EK,44.75,-120.0
LZ4AE,42.75,23.0
BG2TFW,31.75,117.0
KP3CW,18.25,-66.0
K3PA-2,39.75,-83.0
DF7GB,49.75,10.0
IK3STG,45.75,11.0
DL0LA,48.25,13.0
S50U,46.25,15.0
WC2L,40.75,-74.0
JH7CSU1,35.75,139.0
BH4XDZ,31.75,117.0
JK1QLQ,35.75,139.0
MM0ZBH,56.25,-4.0
K5TR,40.75,-90.0
HG8A,47.75,19.0
ZL2KS,-40.75,175.0
W2LB,40.75,-74.0
NU4F,31.75,-82.0
KH6LC,21.75,-157.0
N7TUG,47.75,-122.0
NG7M,37.25,-108.0
HA1VHF,47.75,19.0
SM0TCZ,59.25,17.0
WZ7I,40.75,-74.0
NA3M 2,39.25,-76.0
DF2CK,51.25,10.0
DL5RMH,48.25,13.0
LZ7AA,42.75,23.0
BA6KC,31.75,121.0
GE0FRE,54.25,-4.0
TI7W,9.75,-84.0
AA0O,38.75,-104.0
WV4P,35.75,-81.0
LZ5DI,42.75,24.0
N8DXE,41.75,-81.0
JE1AEX-2,35.75,139.0
W2MV,40.75,-74.0
JI1HFJ,35.75,139.0
KW7MM,37.25,-109.0
ES5PC,58.75,25.0
SQ5J,52.25,21.0
K5EM,47.75,-122.0
F4GOU,49.25,2.0
ZL3X,-43.75,172.0
3D2AG,-17.75,178.0
DK3UA,51.25,11.0
ON6ZQ,50.75,4.0
KC4YVA,24.75,-81.0
KM4SII,34.75,-82.0
SZ1A,35.75,27.0
G4IRN,51.25,-2.0
NT6Q,33.75,-117.0
UA4M,54.75,39.0
WA7LNW,37.25,-108.0
VE6WZ-1,53.75,-114.0
JA1JRS,35.75,139.0
SM1HEV,59.25,15.0
IT9GSF,38.25,15.0
K7CO,47.75,-116.0
KD2OGR,40.75,-74.0
WW1L,42.75,-71.0
HA6PX,47.75,20.0
W4AX,35.75,-84.0
WB6BEE,24.75,-81.0
W6YX,33.75,-116.0
OH4KA,61.75,25.0
K6FOD,33.75,-117.0
WT9U,41.75,-87.0
W2NNN,40.75,-74.0
3B8GL,-20.25,57.0
IK7YTT,40.75,18.0
JO1YYP,35.75,139.0
BA4OP,31.75,121.0
ZS1NN,-33.75,18.0
